Category,2011(b),2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,display_order,highlight_yn,amount_display_type,indentation_level
Private Employment:,,,,,,,,,,,,,,,,,,,1,Y,,1
Services(a),2003,1976,1935,1962,1919,1870,1827,1788,1768,1778,1818,1798,1716,1651,1590,1535,1481,0,2,N,,2
Wholesale Trade,139,137,139,149,150,149,148,148,148,149,156,155,156,153,155,153,158,0,3,N,,2
Retail Trade,302,302,289,299,296,287,281,273,267,268,272,282,270,260,253,248,243,0,4,N,,2
Manufacturing,74,77,83,95,101,106,114,121,127,140,156,177,187,196,201,200,208,0,5,N,,2
Financial Activities,434,429,435,465,468,458,445,435,433,445,474,489,481,477,468,464,467,0,6,N,,2
"Transportation, Warehousing and Utilities",119,119,121,125,125,122,119,118,118,119,129,133,131,129,130,132,132,0,7,N,,2
Construction,104,112,121,132,127,119,113,112,113,116,122,120,112,101,93,91,90,0,8,N,L,2
Total Private Employment,3175,3152,3123,3227,3186,3111,3047,2995,2974,3015,3127,3154,3053,2967,2890,2823,2779,0,9,N,,2
Government,545,558,565,564,559,555,555,554,557,566,565,569,568,561,552,546,560,0,10,N,S,1
Total,3720,3710,3688,3791,3745,3666,3602,3549,3531,3581,3692,3723,3621,3528,3442,3369,3339,0,11,N,G,3
Percentage Increase (Decrease) from Prior Year,,0.6,-2.7,1.2,2.2,1.8,1.5,0.5,-1.4,-2.9,-0.8,2.8,2.6,2.5,2.2,0.9,0.5,0,12,N,,1
